mechanism,geometry,schedule,severity,mover_frac,noise,epoch_start__mean,epoch_start__std,epoch_end__mean,epoch_end__std,n_checkpoints__mean,n_checkpoints__std,effective_rank_start__mean,effective_rank_start__std,effective_rank_end__mean,effective_rank_end__std,effective_rank_delta__mean,effective_rank_delta__std,effective_rank_min__mean,effective_rank_min__std,effective_rank_max__mean,effective_rank_max__std,effective_rank_argmin_epoch__mean,effective_rank_argmin_epoch__std,effective_rank_argmax_epoch__mean,effective_rank_argmax_epoch__std,top_k_variance_fraction_start__mean,top_k_variance_fraction_start__std,top_k_variance_fraction_end__mean,top_k_variance_fraction_end__std,top_k_variance_fraction_delta__mean,top_k_variance_fraction_delta__std,top_k_variance_fraction_min__mean,top_k_variance_fraction_min__std,top_k_variance_fraction_max__mean,top_k_variance_fraction_max__std,top_k_variance_fraction_argmin_epoch__mean,top_k_variance_fraction_argmin_epoch__std,top_k_variance_fraction_argmax_epoch__mean,top_k_variance_fraction_argmax_epoch__std,projection_residual_start__mean,projection_residual_start__std,projection_residual_end__mean,projection_residual_end__std,projection_residual_delta__mean,projection_residual_delta__std,projection_residual_min__mean,projection_residual_min__std,projection_residual_max__mean,projection_residual_max__std,projection_residual_argmin_epoch__mean,projection_residual_argmin_epoch__std,projection_residual_argmax_epoch__mean,projection_residual_argmax_epoch__std,total_persistence_h1_start__mean,total_persistence_h1_start__std,total_persistence_h1_end__mean,total_persistence_h1_end__std,total_persistence_h1_delta__mean,total_persistence_h1_delta__std,total_persistence_h1_min__mean,total_persistence_h1_min__std,total_persistence_h1_max__mean,total_persistence_h1_max__std,total_persistence_h1_argmin_epoch__mean,total_persistence_h1_argmin_epoch__std,total_persistence_h1_argmax_epoch__mean,total_persistence_h1_argmax_epoch__std,collapse_effective_rank_end__mean,collapse_effective_rank_end__std,collapse_effective_rank_max__mean,collapse_effective_rank_max__std,collapse_effective_rank_argmax_epoch__mean,collapse_effective_rank_argmax_epoch__std,collapse_effective_rank_auc__mean,collapse_effective_rank_auc__std,collapse_total_persistence_h1_end__mean,collapse_total_persistence_h1_end__std,collapse_total_persistence_h1_max__mean,collapse_total_persistence_h1_max__std,collapse_total_persistence_h1_argmax_epoch__mean,collapse_total_persistence_h1_argmax_epoch__std,collapse_total_persistence_h1_auc__mean,collapse_total_persistence_h1_auc__std,collapse_top_k_variance_fraction_end__mean,collapse_top_k_variance_fraction_end__std,collapse_top_k_variance_fraction_max__mean,collapse_top_k_variance_fraction_max__std,collapse_top_k_variance_fraction_argmax_epoch__mean,collapse_top_k_variance_fraction_argmax_epoch__std,collapse_top_k_variance_fraction_auc__mean,collapse_top_k_variance_fraction_auc__std,collapse_projection_residual_end__mean,collapse_projection_residual_end__std,collapse_projection_residual_max__mean,collapse_projection_residual_max__std,collapse_projection_residual_argmax_epoch__mean,collapse_projection_residual_argmax_epoch__std,collapse_projection_residual_auc__mean,collapse_projection_residual_auc__std
linear_to_kplane,kcube,sigmoid,moderate,1.0,0.0,0.0,,50.0,,26.0,,3.993891980867877,,3.993891980867877,,0.0,,3.993891980867877,,3.993891980867877,,0.0,,0.0,,1.0,,1.0,,0.0,,1.0,,1.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,42.40044555324418,,42.4157903331882,,0.01534477994401584,,42.39256969392972,,42.42426453482845,,30.0,,34.0,,0.0,,0.0,,0.0,,0.0,,-0.00036190138437919295,,0.00018574944700922025,,30.0,,-0.006030318358660969,,,,,,,,,,,,,,,,,
linear_to_kplane,kcube,sigmoid,strong,0.25,0.0,0.0,,50.0,,26.0,,3.993891980867877,,3.993891980867877,,0.0,,3.993891980867877,,3.993891980867877,,0.0,,0.0,,1.0,,1.0,,0.0,,1.0,,1.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,42.419552081876034,,42.42426453482845,,0.004712452952418289,,42.39256969392972,,42.42426453482845,,34.0,,36.0,,0.0,,0.0,,0.0,,0.0,,-0.00011109153022936802,,0.00063608375435531,,34.0,,0.013900382002191458,,,,,,,,,,,,,,,,,
linear_to_kplane,kcube,sigmoid,strong,0.5,0.0,0.0,,50.0,,26.0,,3.993891980867877,,3.993891980867877,,0.0,,3.993891980867877,,3.993891980867877,,0.0,,0.0,,1.0,,1.0,,0.0,,1.0,,1.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,42.41107788023578,,42.40791447387374,,-0.0031634063620415986,,42.39256969392972,,42.419552081876034,,42.0,,2.0,,0.0,,0.0,,0.0,,0.0,,7.458915264957344e-05,,0.0004363998094630839,,42.0,,0.0021303581970316676,,,,,,,,,,,,,,,,,
linear_to_kplane,kcube,sigmoid,strong,1.0,0.0,0.0,,50.0,,26.0,,3.993891980867877,,3.993891980867877,,0.0,,3.993891980867877,,3.993891980867877,,0.0,,0.0,,1.0,,1.0,,0.0,,1.0,,1.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,42.40044555324418,,42.419552081876034,,0.019106528631851916,,42.39728214688214,,42.42426453482845,,20.0,,32.0,,0.0,,0.0,,0.0,,0.0,,-0.00045062094000547503,,7.460785661006497e-05,,20.0,,-0.012406087108493669,,,,,,,,,,,,,,,,,
linear_to_kplane,kcube,sigmoid,weak,0.25,0.0,0.0,,50.0,,26.0,,3.993891980867877,,3.993891980867877,,0.0,,3.993891980867877,,3.993891980867877,,0.0,,0.0,,1.0,,1.0,,0.0,,1.0,,1.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,42.41363220783686,,42.41107788023578,,-0.002554327601082207,,42.39256969392972,,42.419552081876034,,14.0,,18.0,,0.0,,0.0,,0.0,,0.0,,6.022421254947563e-05,,0.0004965977401777399,,14.0,,0.005727254928291292,,,,,,,,,,,,,,,,,
linear_to_kplane,kcube,sigmoid,weak,0.5,0.0,0.0,,50.0,,26.0,,3.993891980867877,,3.993891980867877,,0.0,,3.993891980867877,,3.993891980867877,,0.0,,0.0,,1.0,,1.0,,0.0,,1.0,,1.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,42.40044555324418,,42.42426453482845,,0.023818981584270205,,42.40044555324418,,42.42426453482845,,0.0,,6.0,,0.0,,0.0,,0.0,,0.0,,-0.0005617625304046303,,0.0,,0.0,,-0.01201170402653573,,,,,,,,,,,,,,,,,
linear_to_kplane,kcube,sigmoid,weak,1.0,0.0,0.0,,50.0,,26.0,,3.993891980867877,,3.993891980867877,,0.0,,3.993891980867877,,3.993891980867877,,0.0,,0.0,,1.0,,1.0,,0.0,,1.0,,1.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,42.40044555324418,,42.4157903331882,,0.01534477994401584,,42.39256969392972,,42.42426453482845,,18.0,,32.0,,0.0,,0.0,,0.0,,0.0,,-0.00036190138437919295,,0.00018574944700922025,,18.0,,-0.007650345062435671,,,,,,,,,,,,,,,,,
linear_to_kplane,spiked_gaussian,exponential,moderate,0.25,0.0,0.0,,50.0,,26.0,,3.2631572031900835,,2.9064907659084698,,-0.35666643728161374,,2.9064907659084693,,3.2631572031900835,,32.0,,0.0,,0.9456283106235654,,0.9571220570143958,,0.01149374639083034,,0.9456283106235654,,0.9571220570143958,,0.0,,32.0,,2.021274060384969,,1.5170074848263193,,-0.5042665755586497,,1.5170074848263193,,2.021274060384969,,26.0,,0.0,,205.8792065584731,,107.84354972288462,,-98.03565683558848,,106.7670810154803,,205.8792065584731,,8.0,,0.0,,0.10930102813708586,,0.10930102813708598,,32.0,,5.111866860956377,,0.4761804675390797,,0.4814091097385462,,8.0,,21.92627391329357,,0.211392114584762,,0.211392114584762,,32.0,,9.835265018784202,,0.24947956610228694,,0.24947956610228694,,26.0,,11.677970370236523,
linear_to_kplane,spiked_gaussian,exponential,moderate,0.5,0.0,0.0,,50.0,,26.0,,3.2631572031900835,,2.5281823427045724,,-0.7349748604855111,,2.528182189272477,,3.2631572031900835,,16.0,,0.0,,0.9456283106235654,,0.970188697665359,,0.02456038704179353,,0.9456283106235654,,0.9701887555446564,,0.0,,14.0,,2.021274060384969,,0.9915568441424176,,-1.0297172162425514,,0.9915568441424176,,2.021274060384969,,26.0,,0.0,,205.8792065584731,,87.08134237190144,,-118.79786418657166,,83.62348509865367,,205.8792065584731,,8.0,,0.0,,0.22523427917202243,,0.2252343261915455,,16.0,,10.525502664029633,,0.5770270158527695,,0.5938225792855714,,8.0,,26.744388152599313,,0.4517127814762795,,0.4517138459879423,,14.0,,21.02106137062231,,0.5094396828337237,,0.5094396828337237,,26.0,,23.846528252801793,
linear_to_kplane,spiked_gaussian,exponential,moderate,1.0,0.0,0.0,,50.0,,26.0,,3.2631572031900835,,1.60952437684096,,-1.6536328263491236,,1.60952437684096,,3.2631572031900835,,24.0,,0.0,,0.9456283106235654,,1.0,,0.05437168937643455,,0.9456283106235654,,1.0,,0.0,,24.0,,2.021274060384969,,8.976260003668015e-67,,-2.021274060384969,,8.976260003668015e-67,,2.021274060384969,,50.0,,0.0,,205.8792065584731,,82.67236860927858,,-123.20683794919452,,77.10786248233117,,205.8792065584731,,8.0,,0.0,,0.5067585541795294,,0.5067585541795294,,24.0,,23.57536369775223,,0.598442358549705,,0.6254703727914783,,8.0,,27.835890836408353,,1.0,,1.0,,24.0,,46.550921056047315,,1.0,,1.0,,26.0,,46.80932612111624,
