ph_mode,ph_metric,other_metric,n,pearson,spearman
landmark_vr,betti_curve_area_h1,top_k_variance_fraction,1664,-0.7454207979926846,-0.6887449193325371
landmark_vr,betti_curve_area_h1,mean_pairwise_distance,1664,-0.057039809091186784,0.34977127346210735
landmark_vr,betti_curve_area_h1,median_pairwise_distance,1664,-0.09034152554983663,0.3387456399457067
landmark_vr,betti_curve_area_h1,std_pairwise_distance,1664,-0.19511277411507535,0.16556468753015188
landmark_vr,betti_curve_area_h1,q10_pairwise_distance,1664,0.6930580889892065,0.6838483172533985
landmark_vr,betti_curve_area_h1,q50_pairwise_distance,1664,-0.09034152554983663,0.3387456399457067
landmark_vr,betti_curve_area_h1,q90_pairwise_distance,1664,-0.09773910359959323,0.33290835490196474
landmark_vr,betti_curve_area_h1,projection_residual,208,-0.15178646586489658,-0.06843971707586526
landmark_vr,betti_curve_peak_h1,effective_rank,1664,0.742601809846857,0.7237389668133228
landmark_vr,betti_curve_peak_h1,top_k_variance_fraction,1664,-0.6978677274429586,-0.7927865250097029
landmark_vr,betti_curve_peak_h1,mean_pairwise_distance,1664,0.24292093417741348,0.5270773615893043
landmark_vr,betti_curve_peak_h1,median_pairwise_distance,1664,0.22114138293705066,0.5314315746795438
landmark_vr,betti_curve_peak_h1,std_pairwise_distance,1664,0.11689934318030303,0.30893833557035555
landmark_vr,betti_curve_peak_h1,q10_pairwise_distance,1664,0.6844859830676091,0.6841434751055446
landmark_vr,betti_curve_peak_h1,q50_pairwise_distance,1664,0.22114138293705066,0.5314315746795438
landmark_vr,betti_curve_peak_h1,q90_pairwise_distance,1664,0.2032330572299502,0.5098277907559804
landmark_vr,betti_curve_peak_h1,projection_residual,208,0.2666125512081693,0.35031502361470795
landmark_vr,betti_curve_change_h1,effective_rank,1664,0.7103654238904801,0.4982537570335915
landmark_vr,betti_curve_change_h1,top_k_variance_fraction,1664,-0.6618203090001146,-0.39474111643356463
landmark_vr,betti_curve_change_h1,mean_pairwise_distance,1664,-0.04566350259736315,0.06332926104748282
landmark_vr,betti_curve_change_h1,median_pairwise_distance,1664,-0.07219984826258152,0.06540549696370732
landmark_vr,betti_curve_change_h1,std_pairwise_distance,1664,-0.15375011631237212,-0.0857811265885031
landmark_vr,betti_curve_change_h1,q10_pairwise_distance,1664,0.5444511206926096,0.27156142009244777
landmark_vr,betti_curve_change_h1,q50_pairwise_distance,1664,-0.07219984826258152,0.06540549696370732
landmark_vr,betti_curve_change_h1,q90_pairwise_distance,1664,-0.07746376193226023,0.059717034374376025
landmark_vr,betti_curve_change_h1,projection_residual,208,-0.2946127648571943,-0.15825875481768656
fixed_support_vr,total_persistence_h1,effective_rank,1664,0.4461494540173752,0.3432426819525146
fixed_support_vr,total_persistence_h1,top_k_variance_fraction,1664,-0.41681334644647994,-0.22887248275589925
fixed_support_vr,total_persistence_h1,mean_pairwise_distance,1664,-0.0849074613366533,-0.02132821016290471
fixed_support_vr,total_persistence_h1,median_pairwise_distance,1664,-0.08818898973499041,0.0012476558394114551
fixed_support_vr,total_persistence_h1,std_pairwise_distance,1664,-0.10357680130361707,-0.0928662916485558
fixed_support_vr,total_persistence_h1,q10_pairwise_distance,1664,0.0844987059257047,-0.03747011553180607
fixed_support_vr,total_persistence_h1,q50_pairwise_distance,1664,-0.08818898973499041,0.0012476558394114551
fixed_support_vr,total_persistence_h1,q90_pairwise_distance,1664,-0.09032669062242132,-0.00624849011710075
fixed_support_vr,total_persistence_h1,projection_residual,208,-0.5748893297284099,-0.6616013736541219
fixed_support_vr,max_persistence_h1,effective_rank,1664,0.42078936528138855,0.4380729357207971
fixed_support_vr,max_persistence_h1,top_k_variance_fraction,1664,-0.3976014682264621,-0.30316070974903886
fixed_support_vr,max_persistence_h1,mean_pairwise_distance,1664,-0.13357626242763493,0.042789364331186915
fixed_support_vr,max_persistence_h1,median_pairwise_distance,1664,-0.14508867660327582,0.056739832947811326
fixed_support_vr,max_persistence_h1,std_pairwise_distance,1664,-0.16991905426316153,-0.05110443868324886
fixed_support_vr,max_persistence_h1,q10_pairwise_distance,1664,0.16968818747410022,0.09160129115832848
fixed_support_vr,max_persistence_h1,q50_pairwise_distance,1664,-0.14508867660327582,0.056739832947811326
fixed_support_vr,max_persistence_h1,q90_pairwise_distance,1664,-0.14199182851443887,0.05355789653399789
