ph_mode,metric,n_joined,pearson_vs_full_vr,spearman_vs_full_vr,mae_vs_full_vr,rmse_vs_full_vr,normalized_mae_vs_full_vr,sign_agreement_vs_full_vr
fixed_support_vr,delta_betti_curve_peak_h1,1664,-0.07292415689589225,-0.13064906715849312,776.08875,2070.4192739636096,28.744027777777777,0.19751908396946566
fixed_support_vr,delta_betti_curve_change_h1,1664,0.351834348000609,-0.18759733313613747,2208.730305423275,3742.3562439753205,24.84815909658415,0.5116696588868941
fixed_knn_vr,total_persistence_h1,1664,0.33591489987779893,0.25893297588699205,24103.630108453242,35900.41804918143,67.67988558163768,
fixed_knn_vr,max_persistence_h1,1664,0.3272998843283471,0.10478453177856306,1.630184420370233,2.3398468616959285,1.84068318601006,
fixed_knn_vr,top5_persistence_h1,1664,0.36163688549468476,0.19088480468259608,8.204189877603538,11.746631382985091,2.1004811581321623,
fixed_knn_vr,betti_curve_area_h1,1664,0.33056951673047485,0.25691054309853,24135.650081940305,35982.620209518405,67.54026661786854,
fixed_knn_vr,betti_curve_peak_h1,1664,0.3737035413857059,0.3554661210634458,10914.710336538461,13008.29584430015,18.070712477712682,
fixed_knn_vr,betti_curve_change_h1,1664,0.7699712743095711,0.8636260530049006,23794.645858225234,35532.33363901999,30.075874891558154,
fixed_knn_vr,delta_total_persistence_h1,1664,-0.8340006376623547,-0.7934959753441772,1616.2754381992165,2819.0723551978285,90.2589415983359,0.21142857142857144
fixed_knn_vr,delta_max_persistence_h1,1664,-0.14152153354716177,-0.6195790940227982,0.11083215655329944,0.19310841428768627,2.563563739418266,0.20808383233532934
fixed_knn_vr,delta_top5_persistence_h1,1664,-0.36566916602764105,-0.6703103271179515,0.5328378298417613,0.94331143947154,3.027933746214741,0.24782608695652175
fixed_knn_vr,delta_betti_curve_area_h1,1664,-0.8750753951445722,-0.8514647576193246,1619.447293778882,2827.789071426597,95.85641479116143,0.09532374100719425
fixed_knn_vr,delta_betti_curve_peak_h1,1664,-0.13038937806078466,-0.12966264479881645,530.72625,1285.2946432627812,19.65652777777778,0.23669201520912547
fixed_knn_vr,delta_betti_curve_change_h1,1664,0.31205072568947245,-0.20406443173140898,1605.6608828590497,2803.3742415496713,18.063643612114767,0.5107913669064749
skip_vr,total_persistence_h1,1664,0.9999999950321496,0.9999991869845481,0.0036037363807080542,0.011566213485911454,1.0118827115056386e-05,
skip_vr,max_persistence_h1,1664,0.9999823317601694,0.9999252896111296,0.00022065172429982448,0.0014212552695886372,0.0002491435409440198,
skip_vr,top5_persistence_h1,1664,0.9999934737393735,0.9999749470083431,0.0007550414158543593,0.003894520112189095,0.00019330979551569958,
skip_vr,betti_curve_area_h1,1664,0.9999999947806713,0.999999283608815,0.003679585150508923,0.011888212541088908,1.0296808300783239e-05,
skip_vr,betti_curve_peak_h1,1664,0.999997652520505,0.9998284546451569,0.09735576923076923,0.34494982912792493,0.0001611850483953133,
skip_vr,betti_curve_change_h1,1664,0.999999997166301,0.9998883572684566,0.007079316245823007,0.020165209714970416,8.948089876847138e-06,
skip_vr,delta_total_persistence_h1,1664,0.9999976333583783,0.9997702002995592,0.0051653237840203516,0.01615178147891624,0.0002884512421210994,1.0
skip_vr,delta_max_persistence_h1,1664,0.9991590911274622,0.9905392718668112,0.00035696714896235257,0.0019733465117073015,0.008256701553969388,0.9976780185758514
skip_vr,delta_top5_persistence_h1,1664,0.9986618498944863,0.9953768736285341,0.0011745424137313586,0.005305094129514814,0.006674519735120655,0.9985141158989599
skip_vr,delta_betti_curve_area_h1,1664,0.9999973399662512,0.9998291360175063,0.005381639924253042,0.016835413892595248,0.0003185436851310765,1.0
skip_vr,delta_betti_curve_peak_h1,1664,0.9987410467771026,0.9587753065845821,0.149375,0.4905354217587146,0.005532407407407408,0.8882113821138211
skip_vr,delta_betti_curve_change_h1,1664,0.999999891094181,0.9999860240401702,0.006691180411770278,0.021186917970417014,7.527560744169399e-05,1.0
event_driven,total_persistence_h1,1664,0.9998467612914049,0.9992477791863781,0.5182526686702081,2.1021718274749484,0.0014551866735491026,
event_driven,max_persistence_h1,1664,0.999682214523487,0.9992951010981964,0.0017217138323631133,0.006278128853033207,0.0019440314008349936,
event_driven,top5_persistence_h1,1664,0.999671428621161,0.9990802865698432,0.007764485056845977,0.028738136190737396,0.0019879055467774773,
event_driven,betti_curve_area_h1,1664,0.9998463279054755,0.9993569605244905,0.526657323851631,2.111474706715733,0.0014737774184010177,
event_driven,betti_curve_peak_h1,1664,0.9997566748934092,0.9967342628181658,0.6736778846153846,3.5132818045897682,0.0011153607361181863,
event_driven,betti_curve_change_h1,1664,0.9992869941602677,0.9948525133489718,1.7467266568651192,10.179965196165428,0.002207821571064278,
event_driven,delta_total_persistence_h1,1664,0.947496531612823,0.8777591891710307,0.7930404004410028,2.5054710161222995,0.04428637934897752,0.8105263157894737
event_driven,delta_max_persistence_h1,1664,0.9879507951696411,0.8963871009782567,0.0026451814265454937,0.007501735795226546,0.0611834272665593,0.8030534351145038
event_driven,delta_top5_persistence_h1,1664,0.9482464290279328,0.8890918822543651,0.011842073394912628,0.034281785135747436,0.06729442177229851,0.8147058823529412
event_driven,delta_betti_curve_area_h1,1664,0.9452432944788404,0.8709708101407848,0.8076949345205638,2.5197109900263785,0.04780812624501157,0.8449197860962567
event_driven,delta_betti_curve_peak_h1,1664,0.9069572954545222,0.8264105755407346,1.05,4.148041706637001,0.03888888888888889,0.7350253807106599
event_driven,delta_betti_curve_change_h1,1664,0.9693438922726942,0.9142202833133694,2.5235345814337484,11.45929087908635,0.028389699100534155,0.839572192513369
