run_id,run_dir,experiment,geometry,mechanism,model,n,d,schedule,severity,mover_frac,noise,seed,regime,metric_family,best_metric,detection_epoch,normalized_detection_time,detected,max_epoch
spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed123,/home/alex/evolve_local/evolve_collapse/evolve_checkpoints/collapse_ph/linear_to_kplane/spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed123,collapse_ph,spiked_gaussian,linear_to_kplane,spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed123,1000,50,linear,moderate,1.0,0.0,123,Projection,Topological,betti_curve_change_h1,2.0,0.04,True,50.0
spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed821,/home/alex/evolve_local/evolve_collapse/evolve_checkpoints/collapse_ph/linear_to_kplane/spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed821,collapse_ph,spiked_gaussian,linear_to_kplane,spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed821,1000,50,linear,moderate,1.0,0.0,821,Projection,Spectral,effective_rank,4.0,0.08,True,50.0
spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed821,/home/alex/evolve_local/evolve_collapse/evolve_checkpoints/collapse_ph/linear_to_kplane/spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed821,collapse_ph,spiked_gaussian,linear_to_kplane,spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed821,1000,50,linear,moderate,1.0,0.0,821,Projection,Geometric,mean_pairwise_distance,4.0,0.08,True,50.0
spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed821,/home/alex/evolve_local/evolve_collapse/evolve_checkpoints/collapse_ph/linear_to_kplane/spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed821,collapse_ph,spiked_gaussian,linear_to_kplane,spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed821,1000,50,linear,moderate,1.0,0.0,821,Projection,Topological,betti_curve_change_h1,2.0,0.04,True,50.0
spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed1111,/home/alex/evolve_local/evolve_collapse/evolve_checkpoints/collapse_ph/linear_to_kplane/spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed1111,collapse_ph,spiked_gaussian,linear_to_kplane,spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed1111,1000,50,linear,moderate,1.0,0.0,1111,Projection,Spectral,effective_rank,4.0,0.08,True,50.0
spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed1111,/home/alex/evolve_local/evolve_collapse/evolve_checkpoints/collapse_ph/linear_to_kplane/spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed1111,collapse_ph,spiked_gaussian,linear_to_kplane,spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed1111,1000,50,linear,moderate,1.0,0.0,1111,Projection,Geometric,mean_pairwise_distance,4.0,0.08,True,50.0
spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed1111,/home/alex/evolve_local/evolve_collapse/evolve_checkpoints/collapse_ph/linear_to_kplane/spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed1111,collapse_ph,spiked_gaussian,linear_to_kplane,spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed1111,1000,50,linear,moderate,1.0,0.0,1111,Projection,Topological,betti_curve_change_h1,2.0,0.04,True,50.0
spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed1823,/home/alex/evolve_local/evolve_collapse/evolve_checkpoints/collapse_ph/linear_to_kplane/spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed1823,collapse_ph,spiked_gaussian,linear_to_kplane,spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed1823,1000,50,linear,moderate,1.0,0.0,1823,Projection,Spectral,effective_rank,4.0,0.08,True,50.0
spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed1823,/home/alex/evolve_local/evolve_collapse/evolve_checkpoints/collapse_ph/linear_to_kplane/spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed1823,collapse_ph,spiked_gaussian,linear_to_kplane,spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed1823,1000,50,linear,moderate,1.0,0.0,1823,Projection,Geometric,mean_pairwise_distance,4.0,0.08,True,50.0
spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed1823,/home/alex/evolve_local/evolve_collapse/evolve_checkpoints/collapse_ph/linear_to_kplane/spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed1823,collapse_ph,spiked_gaussian,linear_to_kplane,spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed1823,1000,50,linear,moderate,1.0,0.0,1823,Projection,Topological,betti_curve_change_h1,2.0,0.04,True,50.0
